stick_id,member_id,member_group,lane,piece_index,s0_mm,s1_mm,cut_length_mm,x0_mm,y0_mm,z0_mm,x1_mm,y1_mm,z1_mm,N_piece_N,sigma_axial_piece_MPa,member_state,mass_g
M137-L02-P01,137,diagonal,2,1,0.0,120.0,120.0,1000.0,85.0,0.0,1080.7207352795574,85.0,88.79280880751324,39.59405279478944,3.7708621709323276,tension,1.4
M137-L02-P02,137,diagonal,2,2,90.0,148.66068747318505,58.66068747318505,1060.5405514596682,85.0,66.59460660563494,1100.0,85.0,110.0,39.59405279478944,3.7708621709323276,tension,0.6843746871871589
M137-L03-P01,137,diagonal,3,1,0.0,120.0,120.0,1000.0,85.0,0.0,1080.7207352795574,85.0,88.79280880751324,39.59405279478944,3.7708621709323276,tension,1.4
M137-L03-P02,137,diagonal,3,2,90.0,148.66068747318505,58.66068747318505,1060.5405514596682,85.0,66.59460660563494,1100.0,85.0,110.0,39.59405279478944,3.7708621709323276,tension,0.6843746871871589
M138-L01-P01,138,chord_lacing,1,1,0.0,120.0,120.0,1000.0,85.0,0.0,1080.7207352795574,85.0,88.79280880751324,39.59405279478944,3.7708621709323276,tension,1.4
M138-L01-P02,138,chord_lacing,1,2,90.0,148.66068747318505,58.66068747318505,1060.5405514596682,85.0,66.59460660563494,1100.0,85.0,110.0,39.59405279478944,3.7708621709323276,tension,0.6843746871871589
M139-L01-P01,139,diagonal,1,1,0.0,120.0,120.0,1100.0,85.0,0.0,1196.7685995026848,85.0,70.96363963530209,67.20272836239094,6.400259844037232,tension,1.4
M139-L01-P02,139,diagonal,1,2,90.0,124.00716825158848,34.00716825158848,1172.5764496270135,85.0,53.222729726476565,1200.0,85.0,73.33333333333331,67.20272836239094,6.400259844037232,tension,0.39675029626853225
M139-L02-P01,139,diagonal,2,1,0.0,120.0,120.0,1100.0,85.0,0.0,1196.7685995026848,85.0,70.96363963530209,67.20272836239094,6.400259844037232,tension,1.4
M139-L02-P02,139,diagonal,2,2,90.0,124.00716825158848,34.00716825158848,1172.5764496270135,85.0,53.222729726476565,1200.0,85.0,73.33333333333331,67.20272836239094,6.400259844037232,tension,0.39675029626853225
M139-L03-P01,139,diagonal,3,1,0.0,120.0,120.0,1100.0,85.0,0.0,1196.7685995026848,85.0,70.96363963530209,67.20272836239094,6.400259844037232,tension,1.4
M139-L03-P02,139,diagonal,3,2,90.0,124.00716825158848,34.00716825158848,1172.5764496270135,85.0,53.222729726476565,1200.0,85.0,73.33333333333331,67.20272836239094,6.400259844037232,tension,0.39675029626853225
M140-L01-P01,140,chord_lacing,1,1,0.0,120.0,120.0,1100.0,85.0,0.0,1196.7685995026848,85.0,70.96363963530209,67.20272836239094,6.400259844037232,tension,1.4
M140-L01-P02,140,chord_lacing,1,2,90.0,124.00716825158848,34.00716825158848,1172.5764496270135,85.0,53.222729726476565,1200.0,85.0,73.33333333333331,67.20272836239094,6.400259844037232,tension,0.39675029626853225
M141-L01-P01,141,diagonal,1,1,0.0,120.0,120.0,1200.0,85.0,0.0,1296.7685995026848,85.0,70.96363963530209,0.05599966850592971,0.005333301762469496,tension,1.4
M141-L01-P02,141,diagonal,1,2,90.0,124.00716825158848,34.00716825158848,1272.5764496270135,85.0,53.222729726476565,1300.0,85.0,73.33333333333331,0.05599966850592971,0.005333301762469496,tension,0.39675029626853225
M141-L02-P01,141,diagonal,2,1,0.0,120.0,120.0,1200.0,85.0,0.0,1296.7685995026848,85.0,70.96363963530209,0.05599966850592971,0.005333301762469496,tension,1.4
M141-L02-P02,141,diagonal,2,2,90.0,124.00716825158848,34.00716825158848,1272.5764496270135,85.0,53.222729726476565,1300.0,85.0,73.33333333333331,0.05599966850592971,0.005333301762469496,tension,0.39675029626853225
M141-L03-P01,141,diagonal,3,1,0.0,120.0,120.0,1200.0,85.0,0.0,1296.7685995026848,85.0,70.96363963530209,0.05599966850592971,0.005333301762469496,tension,1.4
