
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
    63, "min",   -268.690,      -0.068,      0.122,     -0.136,     71.341,     -6.110
    64, "max",    238.332,       0.032,     -0.480,     -0.002,     26.632,      1.730
    64, "min",    238.332,       0.032,     -0.480,     -0.002,    -21.393,     -1.439
    65, "max",   -322.941,      -0.003,     -0.985,     -0.026,    140.953,     -2.358
    65, "min",   -322.941,      -0.003,     -0.985,     -0.026,     30.771,     -2.722
    66, "max",    286.721,       0.023,     -0.125,      0.005,      5.484,      1.334
    66, "min",    286.721,       0.023,     -0.125,      0.005,     -7.064,     -0.921
    67, "max",   -358.074,      -0.115,      4.004,      0.330,    108.562,      7.519
    67, "min",   -358.074,      -0.115,      4.004,      0.330,   -339.133,     -5.316
    68, "max",    320.580,       0.081,     -0.711,      0.014,     36.075,      3.658
    68, "min",    320.580,       0.081,     -0.711,      0.014,    -35.020,     -4.423
    69, "max",   -369.789,       0.066,     -8.377,     -0.657,    450.970,      1.295
    69, "min",   -369.789,       0.066,     -8.377,     -0.657,   -386.754,     -5.325
    70, "max",    365.972,      -0.006,     -0.890,     -0.011,     75.688,      1.072
    70, "min",    365.972,      -0.006,     -0.890,     -0.011,    -13.331,      0.437
    71, "max",   -385.123,      -0.223,     -1.959,     -0.076,    597.590,     10.468
    71, "min",   -385.123,      -0.223,     -1.959,     -0.076,    401.705,    -11.836
    72, "max",    365.972,       0.006,      0.890,      0.011,     75.688,      1.072
    72, "min",    365.972,       0.006,      0.890,      0.011,    -13.331,      0.437
    73, "max",   -385.123,       0.223,      1.959,      0.076,    597.590,     10.468
    73, "min",   -385.123,       0.223,      1.959,      0.076,    401.705,    -11.836
    74, "max",    320.580,      -0.081,      0.711,     -0.014,     36.075,      3.658
    74, "min",    320.580,      -0.081,      0.711,     -0.014,    -35.020,     -4.423
    75, "max",   -369.789,      -0.066,      8.377,      0.657,    450.970,      1.295
    75, "min",   -369.789,      -0.066,      8.377,      0.657,   -386.754,     -5.325
    76, "max",    286.721,      -0.023,      0.125,     -0.005,      5.484,      1.334
    76, "min",    286.721,      -0.023,      0.125,     -0.005,     -7.064,     -0.921
    77, "max",   -358.074,       0.115,     -4.004,     -0.330,    108.562,      7.519
    77, "min",   -358.074,       0.115,     -4.004,     -0.330,   -339.133,     -5.316
    78, "max",    238.332,      -0.032,      0.480,      0.002,     26.632,      1.730
    78, "min",    238.332,      -0.032,      0.480,      0.002,    -21.393,     -1.439
    79, "max",   -322.941,       0.003,      0.985,      0.026,    140.953,     -2.358
    79, "min",   -322.941,       0.003,      0.985,      0.026,     30.771,     -2.722
    80, "max",    156.653,      -0.038,      0.141,      0.021,     19.057,      2.352
    80, "min",    156.653,      -0.038,      0.141,      0.021,      4.959,     -1.426
    81, "max",   -268.690,       0.068,     -0.122,      0.136,     84.965,      1.524
    81, "min",   -268.690,       0.068,     -0.122,      0.136,     71.341,     -6.110
    82, "max",      0.901,      -0.019,      2.456,      0.051,     77.260,     -0.218
    82, "min",      0.901,      -0.019,      2.456,      0.051,   -168.347,     -2.156
    83, "max",   -179.471,       0.057,      4.164,      0.235,    147.717,     -0.230
    83, "min",   -179.471,       0.057,      4.164,      0.235,   -317.888,     -6.629
    84, "max",     -0.217,      -0.035,      0.711,      0.005,     57.124,      0.936
    84, "min",     -0.217,      -0.035,      0.711,      0.005,    -13.968,     -2.537
    85, "max",     -3.083,      -0.059,     -2.651,     -0.046,    -14.827,     -0.925
    85, "min",     -3.083,      -0.059,     -2.651,     -0.046,   -279.970,     -6.867
    86, "max",      0.930,      -0.000,      0.290,      0.013,     13.577,      0.071
    86, "min",      0.930,      -0.000,      0.290,      0.013,    -15.401,      0.034
    87, "max",   -238.348,       0.034,      0.011,      0.027,    -13.737,      1.609
    87, "min",   -238.348,       0.034,      0.011,      0.027,    -14.883,     -1.747
    88, "max",   -149.435,       0.013,      0.466,      0.033,     36.403,      0.535
    88, "min",   -149.435,       0.013,      0.466,      0.033,    -33.561,     -1.419
    89, "max",   -109.706,       0.006,      0.172,      0.013,     17.021,      0.192
